comparison,feature,selection_count
rest1_vs_type1,PLV__Fz__F8__alpha,4
rest1_vs_type1,PLV__F3__F4__alpha,3
rest1_vs_type1,PLV__FP2__F7__alpha,2
rest1_vs_type1,COH__F3__F4__beta_high,1
rest1_vs_type1,COH__F3__F4__beta_low,1
rest1_vs_type1,COH__F3__F4__theta,1
rest1_vs_type1,COH__F3__F8__alpha,1
rest1_vs_type1,COH__F7__F4__alpha,1
rest1_vs_type1,COH__F7__F8__alpha,1
rest1_vs_type1,COH__F7__F8__beta_low,1
rest1_vs_type1,COH__FP1__F7__beta_high,1
rest1_vs_type1,COH__FP1__FP2__beta_low,1
rest1_vs_type1,COH__FP2__F3__alpha,1
rest1_vs_type1,COH__FP2__F3__delta,1
rest1_vs_type1,COH__FP2__F4__gamma,1
rest1_vs_type1,COH__FP2__F8__beta_high,1
rest1_vs_type1,COH__FP2__Fz__gamma,1
rest1_vs_type1,COH__Fz__F8__alpha,1
rest1_vs_type1,PLV__F3__Fz__alpha,1
rest1_vs_type1,PLV__F3__Fz__delta,1
rest1_vs_type1,PLV__F7__F3__beta_high,1
rest1_vs_type1,PLV__F7__F8__alpha,1
rest1_vs_type1,PLV__F7__F8__beta_low,1
rest1_vs_type1,PLV__F7__F8__delta,1
rest1_vs_type1,PLV__FP1__F4__delta,1
rest1_vs_type1,PLV__FP1__FP2__alpha,1
rest1_vs_type1,PLV__FP1__FP2__beta_high,1
rest1_vs_type1,PLV__FP1__Fz__beta_high,1
rest1_vs_type1,PLV__FP2__Fz__gamma,1
rest2_vs_type2,COH__F7__F3__alpha,3
rest2_vs_type2,COH__F3__F8__delta,1
rest2_vs_type2,COH__F3__Fz__delta,1
rest2_vs_type2,COH__F7__F3__delta,1
rest2_vs_type2,COH__F7__F3__gamma,1
rest2_vs_type2,COH__F7__F4__alpha,1
rest2_vs_type2,COH__F7__F8__beta_high,1
rest2_vs_type2,COH__FP1__F3__delta,1
rest2_vs_type2,COH__FP1__F7__delta,1
rest2_vs_type2,COH__FP2__F4__beta_low,1
rest2_vs_type2,COH__FP2__F7__theta,1
rest2_vs_type2,COH__FP2__F8__alpha,1
rest2_vs_type2,PLV__F3__Fz__beta_high,1
rest2_vs_type2,PLV__F7__F3__alpha,1
rest2_vs_type2,PLV__F7__F3__theta,1
rest2_vs_type2,PLV__F7__F8__delta,1
rest2_vs_type2,PLV__FP1__F4__theta,1
rest2_vs_type2,PLV__FP2__F3__beta_low,1
rest2_vs_type2,PLV__FP2__Fz__beta_low,1
